,summary,title,category
0,Help us set up a new training classroom to teach young adults personal finance!,Cents Ability Classroom Set-up,Strengthening Communities
1,Mentor homeless children between the ages of 2 to 12 at our weekend enrichment program.,Mentor Homeless Youth,Education
2,"Are you interested in journalism, research, writing and editing, volunteer with us!","Journalism, Copywriting, Creative Writing Opportunity",
3,"In celebration of Father's Day, we invite fathers and their son or daughter to volunteer at our Senior Lunch Program this Sunday, June 19th at 12pm.",Volunteers Needed for Senior Lunch Program!,Helping Neighbors in Need
4,The Police Athletic League of New York City seeks talented and creative volunteers to assist with the planning and delivery of special events hosted by PAL throughout New York City.  Our events cater to youth and adults and are fun filled.,Special Events Assistant,Strengthening Communities
5,Helping children 6-12 design a stage for a December 3 production.,Stage Design,Strengthening Communities
6,"Jewish Home Lifecare is seeking volunteers to assist with event set-up and transport of residents to special events activiteis on holidays, weekends, and during evenings",Special Events Assistant,Helping Neighbors in Need
7,Artists Striving to End Poverty in New York City is seeking artist volunteers to work in New York City.,Artist Volunteer Opportunities,
8,"Please volunteer for Earth Day events on April 21st, 22nd, or 23rd.",Volunteer for Earth Day Events,Environment
9,"Share information with NYC's street vendors about their rights and responsibilities. Get to know another dimension the city,",Street Vendor Project - Join Our Monthly Outreach Team!,Strengthening Communities
10,"ARTs East New York is looking for open-minded, motivated volunteers with an interest in the arts and community development to further the mission of our organization. Volunteers should have strong work ethic and willingness to explore the idea of using the arts as a tool for change.",Finance Assistant,Strengthening Communities
11,"Volunteering at the Center for Architecture Foundation is a great way to contribute to the community, learn new skills, and have fun! We have volunteer opportunities to suit every interest.",Design Education Volunteer Opportunities,Strengthening Communities
12,"Street Games is an event that brings thousands of kids and adults alike out to learn (or relive) some of the classic street games from the 60’s and 70’s and reintroduce them to a new generation with a modern twist! Held in Thomas Jefferson Park on Saturday, May 7th from 11:00 a.m. to 3:00 p.m.",Street Games in Harlem's Thomas Jefferson Park,Health
13,"This dedication is of the Nottage Community Art Gallery for Ruby Nottage, the mother of famed playwright, Lynn Nottage.",Volunteer at an Art Gallery Dedication,Strengthening Communities
14,"A social media campaign is a focused marketing push toward an organization's goal, whether it's boosting attendance at an event, fundraising for a specific project, or spreading awareness about a program or issue.",Social Media Campaign for Professionals,Strengthening Communities
15,Join Friends and the Hudson River Park Trust in our efforts to help care for the more than 400 acres of water in Hudson River Park's Estuarine Sanctuary. The Clean Sanctuary Campaign has been created to remove debris from the river as floatables arrive daily with the tide.,Hudson River Clean-up,Environment
16,Teacher's assistant for one hour per week in the Bronx,Conversation Leader,Helping Neighbors in Need
17,Recycling in the city has declined and we need YOU to help get NYC recycling again! Volunteers will work with OROE's borough-wide coordinators to teach New Yorkers to recycle more and waste less.,Get the tools to volunteer for Recycling!,Strengthening Communities
18,Take part in a fun night of reading and creating crafts with children!,Winter Literacy Night!,Education
19,"RAINN (Rape, Abuse & Incest National Network) is seeking volunteers in the New York City area to assist with the National Sexual Assault Online Hotline.",National Sexual Assault Online Hotline Volunteer,Helping Neighbors in Need
20,Tutors wanted to help students in grades 3-5 learn basic math skills.,Math Tutor,Education
21,"On Thursday, April 21st our partners at America Works, and HRA Food Stamp Nutrition and Outreach Program (FSNOP) will be on-site at the Mayor’s Office of Veterans’ Affairs (MOVA) 346 Broadway, Room 817 to assist veterans seeking employment and apply for Food Stamps.",Help NYC Veterans,Helping Neighbors in Need
22,Recycling in the city has declined and we need YOU to help get NYC recycling again!,Get the tools to volunteer for Recycling!,Environment
23,"We are looking for an individual to help with registration and outreach for our soccer programming.  Tasks include administrative duties, data entry, emails and calls, and designing flyers.",Seeds in the Middle - Soccer Registration Administrator,Strengthening Communities
24,A compelling story is vital to almost every successful communication product. Well-told short stories enable an organization to get messages across to the public and supporters in an engaging and accessible manner.,Storytelling for Professionals,Strengthening Communities
25,Looking for an Older Adult Friendly Visitor who can provide general companionship and general assistance to seniors in the community.,Friendly Visitor for Older Adults,Helping Neighbors in Need
26,"The American Cancer Society Coaches vs. Cancer program leverages personal experiences, community leadership and professional excellence of athletes, coaches and fans nationwide through special events and awareness activities.",American Cancer Society Coaches vs. Cancer Committee Opportunity,Health
27,"he focus of this project is to review an organization's existing media and communications documents and ensure that an organization's message is delivered effectively via marketing materials, organization background documents, presentations, speeches, photos, videos, and more.",Communications Materials Review for Professionals,Strengthening Communities
28,"Video is a powerful medium. It helps an organization tell engaging stories, bring attention to a cause, and communicate its value and effectiveness to a wide audience",Video Editing for Professionals,Strengthening Communities
29,"The Great Strides walk program is our organization’s premier fundraising initiative.  Each year throughout the months of May and June, thousands of New Yorkers join together to walk towards a cure for cystic fibrosis.  CF is an inherited chronic disease that affects the lungs and digestive system.",Come Volunteer at our Great Strides Walks ,Strengthening Communities
30,"The 2011 Festival will take place on September 23, 24, & 25th.  This year we are searching for volunteers who can devote some of their time between Friday, September 16th and Thursday, September 22nd, as well as, the three days of the Festival itself.",2011 Dumbo Arts Festival,Strengthening Communities
31,"Event publicity generates buzz about an organization's event. Publicity can increase numbers of attendees traditionally, by reaching out to media for coverage in advance of the event, and directly, through social media.",Event Publicity for Professionals,Strengthening Communities
32,"Tutor and Mentor with YALLA (Young Arabs, Learning, Leading, Advancing), the high school youth program at the Arab American Association of New York.",Leadership Counselor for High School Youth,Education
33,Learn more about how you can help with our Nutrition Workshop series.,JASA Nutrition Workshop Volunteer info session,Health
34,Personal Shoppers work one-on-one with Dress for Success clients to help select their interview suit. Personal shopping is a wonderful way to boost women’s confidence and make a direct impact on our clients’ lives.,Personal Shopper,Helping Neighbors in Need
35,"Yoga instructor needed at Roy Wilkins Recreation Center in Jamaica, Queens.",Queens-Fitness Instructor for Shape Up NYC,Health
36,Clean up of abandoned cemetery on Staten Island,Community Clean Up at Asbury Cementary in Staten Island ,Strengthening Communities
37,"Volunteers at this event will make popcorn, paint faces, and lead games.  The movies will be shown in the Far Rockaway Beach area of Queens.",August Movie Event volunteers needed in Queens,Strengthening Communities
38,"Join other volunteers for a back to school event in Forest Park, Queens.",Volunteer at Back to School Event-Queens,Strengthening Communities
39,"Help out the American Cancer Society in Central Park on October 16, 2011!",Making Strides Against Breast Cancer Volunteers Needed,Health
40,Join us at Turtle Bay Music School for our Cocktails & Cobwebs decorating party!,Turtle Bay Music School Decorating Party!,
41,Provide Youth and Adults with New Skills.,Use Your Skills To Help Others - 55+ Only,Helping Neighbors in Need
42,"Bike New York is looking for intern to help with event organization, and behind the scenes work.",Bike New York Volunteer,Health
43,"A motion graphics video offers a simple, visually engaging way to introduce an organization to a wider audience. Unlike traditional video, a motion graphics focuses on visual content or still images, so there is no need for a film shoot.",Motion Graphics Video for Professionals,Strengthening Communities
44,"Volunteer your time to work alongside an all-girls, middle school rowing team, helping them succeed in academics during after-school time.",Row New York Afterschool Volunteer Tutor for Middle School,Education
45,"Teacher of Basic Computer Skills such as browsing, MS word, Excel, etc.",Computer Teacher,Helping Neighbors in Need
46,Help care for our vegetable garden beds where all our produce will be donated to local food pantries.,Garden Crew,Environment
47,"NIP is looking for a person who would like to assist our Director of Communications and Community Outreach in informing the community of the availability of our services by communicating directly with patients and with referal sources through marketing, media and special events.",Outreach and Marketing Assistant,Strengthening Communities
48,Help Clean and Spruce Up Gorman Park,Park Volunteer,
49,Provide IT and network support at community based organizations in New York City who are currently partnering with iGotITtoo.,Information Technology Support ,Strengthening Communities
50,Instruct adults lacking HSD/GED in preparation for the GED exam in a small group setting in Harlem.,GED Instructer Needed!,Helping Neighbors in Need
51,Join us at the largest timebanking event in New York City!,TimeBanksNYC: THE GREAT EXCHANGE ,Helping Neighbors in Need
52,Someone needed for various repairs.,Handyman Needed!,
53,Promote recycling in your apartment building!,Apartment Building Recycling Initiative,Environment
54,"Crowdfunding is people pooling their money together, usually via the Internet, to support an idea or effort initiated by a person or organization. Crowdfunders can build up and nurture a community of like-minded individuals who genuinely want to see one another succeed.",Crowdfunding for Professionals,Strengthening Communities
55,"Volunteers needed for our exciting Family Benefit at Webster Hall, May 22, 2011!",Volunteer at CMA's Annual Family Benefit,Strengthening Communities
56,Volunteers to pack boxes of Turkey Dinners on Nov.22,Thanksgiving Feeding of the Needy 2011,Strengthening Communities
57,Literacy volunteers needed  to read books aloud to children on Saturdays.,Storytelling,Education
58,"A vision and mission analysis helps an organization identify how it wants to change the world, who it wants to serve, and how it will accomplish its goals. Organizations often revise their vision, mission, and aspirations at strategic milestones such as new leadership.",Vision and Mission Analysis for Professionals,Strengthening Communities
59,"Work in a supported mentoring program with middle school students in Brooklyn, 3 days per week during the school day.  Individuals interested in a career in teaching are encouraged to apply.",Make a difference in a young person's life:  Become a Middle School Mentor Today!,Education
60,Lend your hands for the environment. Help keep New York coasts clean and free of debris. Celebrate the earth.,Beach Clean Up,Environment
61,"Building on successful events last summer and earlier this year in the Bronx and in Queens, the Center for NYC Neighborhoods (CNYCN) and its partners are now organizing the last 2011 Rise Up & Stay Put! Home Rescue Fair. It will be on Saturday, July 30 at Long Island University in Brooklyn.",Volunteers Needed For Rise Up & Stay Put! Home Rescue Fair ,
62,"ARTs East New York Inc. is looking for open-minded, motivated volunteer with an interest in the arts and community development to further the mission of our organization. Volunteer should have strong work ethic and willingness to explore the idea of using the arts as a tool for change.",Fundraising Inern,Strengthening Communities
63,"We are seeking an instructor for our youth dance/drama workshop. Mon and Wed 3p-5p. The students will be conducting a production of ""The Wiz"". Instructor will be responsible for creating all lesson plans and reports.   ARTs East New York Inc.  artseastny.com",Dance/Drama Instructor,Education
64,Join KHCC and Horace Mann High School for a celebration of service learning!,Youth Service Day: Neighborhood Festival 2011,Education
65,Community Services-Nazi Victim Friendly Visitor Program. This friendly visiting program serves as the last surviving relative to the victims of the Nazi Persecution. Supported by social workers these are people who would benefit from a friendly visitor who can spend an hour a week with clients.,It's Never A Bad Time to Make A Friend--55+ Only,Helping Neighbors in Need
66,"Office support - Provide office support, office management, database management, desktop publishing, word processing and any other office work  Volunteer Recruitment & Personnel - Recruit, supervise and communicate with volunteers and interns in our office and all over the world","Office Support, Volunteer Recruitment and Personnel Opportunities",Strengthening Communities
67,Public event for families with crafts and activities,Red Hook Family Festival,Strengthening Communities
68,Manhattan/Brighton Beach Senior Center is looking for activity leaders for any and all topics! Volunteer once a week to share your particular field of interest with our members.  Contact us and we will help you develop an opportunity tailored specifically to you and your talents!,Become An Activity Leader! --55+ Only,Helping Neighbors in Need
69,"This plan helps an organization determine how to spend its advertising dollars and manage this program. This project involves keyword research, ad copywriting, and account optimization guidelines.",Google Adwords Plan for Professionals,Strengthening Communities
70,"The Family Center is a New York City non-profit dedicated to strengthening families affected by illness, crisis, and loss.  We are currently seeking a volunteer event photographer to capture compelling images of the children and families in our care.",Photographer,Strengthening Communities
71,Oversee our boys scout on saturdays as a troup leader,Boys Scout Leader,Strengthening Communities
72,"We empower communities by training volunteers to prepare and respond to disasters. On 6/22/11, we will host an info session at our office where we are asking anyone interested in service to learn more about volunteer opportunities at WCC. Everyone has something to contribute.",World Cares Center Annual Volunteer Recruitment Event ,Emergency Preparedness
73,"The Olivieri Drop-In Center participates in the Emergency Shelter Network Respite Bed Program, a network of volunteer-run emergency respite sites hosted by various Congregations and community organizations throughout New York City.",Overnight Night Volunteer,Helping Neighbors in Need
74,The Wendy Hilliard Foundation is looking for volunteers to come in on Saturday's from 3:30-6:30PM at Riverbank State Park to read with gymnastics students before or after they come to class.,Reading Program Volunteers,Education
75,NYAWC is seeking a volunteer to assist our Administration department with our busy office.,Volunteer Program Volunteer,Strengthening Communities
76,"At Citizen Schools, middle school students work side-by-side with experts like you to explore new fields, learn new skills, and create something real for their community.",Help A Middle School Student Learn A New Skill --55+ Only,Education
77,"CVM AmeriCorps’ English Language Literacy program offers free ESL classes to adult learners in the Chinatown and LES community. We currently have four classes - Beginner 1,Beginner 2, Intermediate, and Advanced Conversation. Our classes run on a Monday to Thursday schedule, from 6:30 – 8:30pm.",Volunteer to teach ESL students in Chinatown!,Helping Neighbors in Need
78,"Windows desktop support and system administration, networking, software updating and configuration, and office equipment troubleshooting.",Computers / Technical Support Volunteer Opportunity,Strengthening Communities
79,"Pre-GED/GED Literacy and/or Math tutoring. Experience highly desirable but not essential. Proven ability to manage learners. Strong organizational, computer, verbal (oral and written) math, communication skills. Commitment to caring and helping others.",GED Math/Humanities Tutor,Helping Neighbors in Need
80,"Momentum needs volunteers to help with a dinner program, located on East 165th Street near the Grand Concourse in the Bronx, offering a nutritious hot meal and pantry to take home, as well as social services.",Help feed our Bronx community,Helping Neighbors in Need
81,"This opportunity is located in Little Bay Park, Fort Totten.  The dates are August 16, 23, and 30 at 8pm.  Volunteers are needed for the following special events: singers, clowns, magicians, arts & crafts.",Volunteer at Summer Outdoor Movie Nights-Queens,Strengthening Communities
82,The PAL BBC Steppers Step team program seeks an instructor available on Wednesday from 5:00pm – 7:30pm and Saturday mornings from 11:00 am – 1:00 pm. The BBC Steppers will consist of about 20 middle school and teen participants with or without formal experience in stepping.,Step Team Instructor,Health
83,"Help pass out programs, serve food to performers, support audience members.",Audience support,Strengthening Communities
84,Help our nonprofit tell its story,Nonprofit Development - Public Relations,Strengthening Communities
85,NYC Parks and Recreation seeks your participation to enrich our parks! Shape Up New York is a free fitness program for all ages and is looking for a Zumba instructor at Forest Park Wallenburg Square in Queens.   Volunteers must have some experience as a fitness instructor.,Queens Fitness Instructor for Shape Up NY!,Health
86,"Change a community!  Give the gift of self confidence, independence, health, and a smaller carbon footprint! Volunteer for Bike New York!",Give the Gift of Bicycling!,Strengthening Communities
87,Assist the Database Coordinator with recording contact information of Waterkeeper Alliance's petition signers in an Excel spreadsheet to be uploaded to the database. Send the petitions to  the appropriate policy maker (either EPA Administrator Lisa Jackson or President Barack Obama).,Petition Assistance,
88,Volunteers needed on Weds 5-7pm at SI Food Pantry,Food Pantry Volunteers,
89,"Bring the joy of music to seniors with Alzheimer's and related dementia at Lenox Hill Neighborhood House, the oldest and largest social and educational services organization on Manhattan's Upper East Side.",Musician for Alzheimer's Program,Strengthening Communities
90,"ARTs East New York Inc. is looking for open-minded, motivated volunteers with an interest in the arts and community development to further the mission of our organization. Volunteers should have strong work ethic and willingness to explore the idea of using the arts as a tool for change.",Events Coordinator,Strengthening Communities
91,"Join us on April 3, 2011 for the Best Buddies NYC Friendship Walk and help us step closer to a more accepting and inclusive future for people with intellectual and developmental disabilities!",Best Buddies NYC Friendship Walk 2011,Strengthening Communities
92,"Volunteers needed to file for fair hearings, do client advocacy and screen clients for food stamps.",Volunteer for NYLAG's Food Stamps Project,Helping Neighbors in Need
93,"We are New York City’s largest girls-only youth and leadership development program where girls learn to lead with courage, confidence and character to make their communities and the world  a better place.",Girl Scout Series - East Harlem,Strengthening Communities
94,We are recruiting outstanding undergraduate and graduate students as interns for the 2011-2012 school year to collaborate on the boldest nonprofit initiative we know.,Undergraduate and Graduate Students  Fall/Spring Interns wanted to work with Class Wish ,Education
95,"Join one of The Laundromat Project's teaching artists Shani Peters and support this community interactive, social practice art project.  It’s easy; put on a sandwich board, grab a stack of flyers, and spread KNOWLEDGE and LOVE throughout Harlem!",We Promote Knowledge & Love: Parade Day in Harlem,Strengthening Communities
96,"Come out to the South Bronx to help us hold our first open house! We need volunteers to help staff the event and run educational exhibit tables. Help us express a love of learning, science, and engineering to the community in the poorest congressional district in the country.",Iridescent Science Studio Open House Volunteers,Strengthening Communities
97,"This project gives you the rare opportunity to meet with a seasoned CEO of a successful for-profit company that has at least $1,000,000 in annual revenue. You must be the Executive Director, or equivalent, of an organization to be eligible for this project.",CEO Expert Advice for Professionals,Strengthening Communities
98,Volunteers are needed to help divert clothing and textile waste from the landfill at our textile recycling drive!  Help out your community and enjoy a day outside as you receive bags of textiles and help load the collection truck at the end of the day.,"Divert Clothing & Textiles From the Landfill, Neighborhood Greenmarket Textile Recycling Drive",Environment
99,Join over a thousand professionals in NYC who mentor teens from underserved communities. Most of them had never served as mentors before joining but iMentor’s flexible and supportive mentoring model gave them the opportunity and confidence to try.,iMentor: We Need More Male Mentors ,Education
100,Volunteers help with deliveries and organization of the pantry.,Intake Delivery Monday,Helping Neighbors in Need
101,"Queens Pride House, the Lesbian, Gay, Bisexual, Trans, Queer/Questioning center of Queens is seeking volunteers in a variety of roles.  Join us for our next orientation session, February 25th at 6:30 to get more involved! For more information: http://queenspridehouse.org/volunteer-opportunities",Make a difference for the LGBTQ community of Queens!,Strengthening Communities
102,The BCA is currently in need for an individual to rewrite and convert our current Content Management Software to a more functional CMS (possible Drupal),Website CMS Conversion Coordinator ,Strengthening Communities
103,"Creating a brand identity will explore an organization's history, values, vision, mission, and key stakeholders.",Brand Identity for Professionals,Strengthening Communities
104,Help middle school students improve their writing skills.,Writing Tutor,Education
105,"If you wish to escape the bustling city and enjoy beautiful surroundings, get involved and become an ambassador for the greatest Botanical Garden in the world!",Garden Greeter,Environment
106,"Come enjoy the green summer experience of Park Avenue closed to car traffic for 7 miles, and help us save massive heaps of recyclable materials from going into landfills and incinerators! Volunteers are needed to run our recycling game and help monitor event recycling.",Inspire NY Recycling at Summer Streets 2011!,Environment
107,An effective marketing plan addresses an organization's medium to long term goals by leveraging limited resources to achieve maximum impact.,Strategic Marketing Plan for Professionals,Strengthening Communities
108,"Live Out Loud is looking for a marketing intern to help promote programs for LGBT (lesbian, gay, bisexual, and transgender) youth!",Marketing Intern,Strengthening Communities
109,"Outreach Volunteer needed to increase awareness of local businesses in New York City about what older adults want, while reinforcing links between businesses and a growing and influential consumer base.",Age-Friendly New York City Outreach Volunteer,
110,"Metropolitan Council on Jewish Poverty is one of New York's largest human services agencies, providing more than 100,000 New Yorkers with critical services in their fight against poverty and its effects every year.",Fitness Instructor for Seniors,Health
111,We are currently seeking friendly and energetic adults to be part of NYBG’s tour guide program.,Tour Guide Volunteer Opportunity,Environment
